Province_State,Country_Region,Last_Update,Confirmed,Deaths
,Albania,2020-03-25,146,5
,Albania,2020-03-26,174,6
,Albania,2020-03-27,186,8
,Albania,2020-03-28,197,10
,Albania,2020-03-29,212,10
,Albania,2020-03-30,223,11
,Albania,2020-03-31,243,15
,Albania,2020-04-01,259,15
,Albania,2020-04-02,277,16
,Albania,2020-04-03,304,17
,Albania,2020-04-04,333,20
,Algeria,2020-01-22,0,0
,Algeria,2020-01-23,0,0
,Algeria,2020-01-24,0,0
,Algeria,2020-01-25,0,0
,Algeria,2020-01-26,0,0
,Algeria,2020-01-27,0,0
,Algeria,2020-01-28,0,0
,Algeria,2020-01-29,0,0
,Algeria,2020-01-30,0,0
,Algeria,2020-01-31,0,0
,Algeria,2020-02-01,0,0
,Algeria,2020-02-02,0,0
,Algeria,2020-02-03,0,0
,Algeria,2020-02-04,0,0
,Algeria,2020-02-05,0,0
,Algeria,2020-02-06,0,0
,Algeria,2020-02-07,0,0
,Algeria,2020-02-08,0,0
,Algeria,2020-02-09,0,0
,Algeria,2020-02-10,0,0
,Algeria,2020-02-11,0,0
,Algeria,2020-02-12,0,0
,Algeria,2020-02-13,0,0
,Algeria,2020-02-14,0,0
,Algeria,2020-02-15,0,0
,Algeria,2020-02-16,0,0
,Algeria,2020-02-17,0,0
,Algeria,2020-02-18,0,0
,Algeria,2020-02-19,0,0
,Algeria,2020-02-20,0,0
,Algeria,2020-02-21,0,0
,Algeria,2020-02-22,0,0
,Algeria,2020-02-23,0,0
,Algeria,2020-02-24,0,0
,Algeria,2020-02-25,1,0
,Algeria,2020-02-26,1,0
,Algeria,2020-02-27,1,0
,Algeria,2020-02-28,1,0
,Algeria,2020-02-29,1,0
,Algeria,2020-03-01,1,0
,Algeria,2020-03-02,3,0
,Algeria,2020-03-03,5,0
,Algeria,2020-03-04,12,0
,Algeria,2020-03-05,12,0
,Algeria,2020-03-06,17,0
,Algeria,2020-03-07,17,0
,Algeria,2020-03-08,19,0
,Algeria,2020-03-09,20,0
,Algeria,2020-03-10,20,0
,Algeria,2020-03-11,20,0
,Algeria,2020-03-12,24,1
,Algeria,2020-03-13,26,2
,Algeria,2020-03-14,37,3
,Algeria,2020-03-15,48,4
,Algeria,2020-03-16,54,4
,Algeria,2020-03-17,60,4
,Algeria,2020-03-18,74,7
,Algeria,2020-03-19,87,9
,Algeria,2020-03-20,90,11
,Algeria,2020-03-21,139,15
,Algeria,2020-03-22,201,17
,Algeria,2020-03-23,230,17
,Algeria,2020-03-24,264,19
,Algeria,2020-03-25,302,21
,Algeria,2020-03-26,367,25
,Algeria,2020-03-27,409,26
,Algeria,2020-03-28,454,29
,Algeria,2020-03-29,511,31
,Algeria,2020-03-30,584,35
,Algeria,2020-03-31,716,44
,Algeria,2020-04-01,847,58
,Algeria,2020-04-02,986,86
,Algeria,2020-04-03,1171,105
,Algeria,2020-04-04,1251,130
,Andorra,2020-01-22,0,0
,Andorra,2020-01-23,0,0
,Andorra,2020-01-24,0,0
,Andorra,2020-01-25,0,0
,Andorra,2020-01-26,0,0
,Andorra,2020-01-27,0,0
,Andorra,2020-01-28,0,0
,Andorra,2020-01-29,0,0
,Andorra,2020-01-30,0,0
,Andorra,2020-01-31,0,0
,Andorra,2020-02-01,0,0
,Andorra,2020-02-02,0,0
,Andorra,2020-02-03,0,0
,Andorra,2020-02-04,0,0
,Andorra,2020-02-05,0,0
,Andorra,2020-02-06,0,0
,Andorra,2020-02-07,0,0
,Andorra,2020-02-08,0,0
,Andorra,2020-02-09,0,0
,Andorra,2020-02-10,0,0
,Andorra,2020-02-11,0,0
,Andorra,2020-02-12,0,0
,Andorra,2020-02-13,0,0
,Andorra,2020-02-14,0,0
,Andorra,2020-02-15,0,0
,Andorra,2020-02-16,0,0
,Andorra,2020-02-17,0,0
,Andorra,2020-02-18,0,0
,Andorra,2020-02-19,0,0
,Andorra,2020-02-20,0,0
,Andorra,2020-02-21,0,0
,Andorra,2020-02-22,0,0
,Andorra,2020-02-23,0,0
,Andorra,2020-02-24,0,0
,Andorra,2020-02-25,0,0
,Andorra,2020-02-26,0,0
,Andorra,2020-02-27,0,0
,Andorra,2020-02-28,0,0
,Andorra,2020-02-29,0,0
,Andorra,2020-03-01,0,0
,Andorra,2020-03-02,1,0
,Andorra,2020-03-03,1,0
,Andorra,2020-03-04,1,0
,Andorra,2020-03-05,1,0
,Andorra,2020-03-06,1,0
,Andorra,2020-03-07,1,0
,Andorra,2020-03-08,1,0
,Andorra,2020-03-09,1,0
,Andorra,2020-03-10,1,0
,Andorra,2020-03-11,1,0
,Andorra,2020-03-12,1,0
,Andorra,2020-03-13,1,0
,Andorra,2020-03-14,1,0
,Andorra,2020-03-15,1,0
,Andorra,2020-03-16,2,0
,Andorra,2020-03-17,39,0
,Andorra,2020-03-18,39,0
,Andorra,2020-03-19,53,0
,Andorra,2020-03-20,75,0
,Andorra,2020-03-21,88,0
,Andorra,2020-03-22,113,1
,Andorra,2020-03-23,133,1
,Andorra,2020-03-24,164,1
,Andorra,2020-03-25,188,1
,Andorra,2020-03-26,224,3
,Andorra,2020-03-27,267,3
,Andorra,2020-03-28,308,3
,Andorra,2020-03-29,334,6
,Andorra,2020-03-30,370,8
,Andorra,2020-03-31,376,12
,Andorra,2020-04-01,390,14
,Andorra,2020-04-02,428,15
,Andorra,2020-04-03,439,16
,Andorra,2020-04-04,466,17
,Angola,2020-01-22,0,0
,Angola,2020-01-23,0,0
,Angola,2020-01-24,0,0
,Angola,2020-01-25,0,0
,Angola,2020-01-26,0,0
,Angola,2020-01-27,0,0
,Angola,2020-01-28,0,0
,Angola,2020-01-29,0,0
,Angola,2020-01-30,0,0
,Angola,2020-01-31,0,0
,Angola,2020-02-01,0,0
,Angola,2020-02-02,0,0
,Angola,2020-02-03,0,0
,Angola,2020-02-04,0,0
,Angola,2020-02-05,0,0
,Angola,2020-02-06,0,0
,Angola,2020-02-07,0,0
,Angola,2020-02-08,0,0
,Angola,2020-02-09,0,0
,Angola,2020-02-10,0,0
,Angola,2020-02-11,0,0
,Angola,2020-02-12,0,0
,Angola,2020-02-13,0,0
,Angola,2020-02-14,0,0
,Angola,2020-02-15,0,0
,Angola,2020-02-16,0,0
,Angola,2020-02-17,0,0
,Angola,2020-02-18,0,0
,Angola,2020-02-19,0,0
,Angola,2020-02-20,0,0
,Angola,2020-02-21,0,0
,Angola,2020-02-22,0,0
,Angola,2020-02-23,0,0
,Angola,2020-02-24,0,0
,Angola,2020-02-25,0,0
,Angola,2020-02-26,0,0
,Angola,2020-02-27,0,0
,Angola,2020-02-28,0,0
,Angola,2020-02-29,0,0
,Angola,2020-03-01,0,0
,Angola,2020-03-02,0,0
,Angola,2020-03-03,0,0
,Angola,2020-03-04,0,0
,Angola,2020-03-05,0,0
,Angola,2020-03-06,0,0
,Angola,2020-03-07,0,0
,Angola,2020-03-08,0,0
,Angola,2020-03-09,0,0
,Angola,2020-03-10,0,0
,Angola,2020-03-11,0,0
,Angola,2020-03-12,0,0
,Angola,2020-03-13,0,0
,Angola,2020-03-14,0,0
,Angola,2020-03-15,0,0
,Angola,2020-03-16,0,0
,Angola,2020-03-17,0,0
,Angola,2020-03-18,0,0
,Angola,2020-03-19,0,0
,Angola,2020-03-20,1,0
,Angola,2020-03-21,2,0
,Angola,2020-03-22,2,0
,Angola,2020-03-23,3,0
,Angola,2020-03-24,3,0
,Angola,2020-03-25,3,0
,Angola,2020-03-26,4,0
,Angola,2020-03-27,4,0
,Angola,2020-03-28,5,0
,Angola,2020-03-29,7,2
,Angola,2020-03-30,7,2
,Angola,2020-03-31,7,2
,Angola,2020-04-01,8,2
,Angola,2020-04-02,8,2
,Angola,2020-04-03,8,2
,Angola,2020-04-04,10,2
,Antigua and Barbuda,2020-01-22,0,0
,Antigua and Barbuda,2020-01-23,0,0
,Antigua and Barbuda,2020-01-24,0,0
,Antigua and Barbuda,2020-01-25,0,0
,Antigua and Barbuda,2020-01-26,0,0
,Antigua and Barbuda,2020-01-27,0,0
,Antigua and Barbuda,2020-01-28,0,0
,Antigua and Barbuda,2020-01-29,0,0
,Antigua and Barbuda,2020-01-30,0,0
,Antigua and Barbuda,2020-01-31,0,0
,Antigua and Barbuda,2020-02-01,0,0
,Antigua and Barbuda,2020-02-02,0,0
,Antigua and Barbuda,2020-02-03,0,0
,Antigua and Barbuda,2020-02-04,0,0
,Antigua and Barbuda,2020-02-05,0,0
,Antigua and Barbuda,2020-02-06,0,0
,Antigua and Barbuda,2020-02-07,0,0
,Antigua and Barbuda,2020-02-08,0,0
,Antigua and Barbuda,2020-02-09,0,0
,Antigua and Barbuda,2020-02-10,0,0
,Antigua and Barbuda,2020-02-11,0,0
,Antigua and Barbuda,2020-02-12,0,0
,Antigua and Barbuda,2020-02-13,0,0
,Antigua and Barbuda,2020-02-14,0,0
,Antigua and Barbuda,2020-02-15,0,0
,Antigua and Barbuda,2020-02-16,0,0
,Antigua and Barbuda,2020-02-17,0,0
,Antigua and Barbuda,2020-02-18,0,0
,Antigua and Barbuda,2020-02-19,0,0
,Antigua and Barbuda,2020-02-20,0,0
,Antigua and Barbuda,2020-02-21,0,0
,Antigua and Barbuda,2020-02-22,0,0
,Antigua and Barbuda,2020-02-23,0,0
,Antigua and Barbuda,2020-02-24,0,0
,Antigua and Barbuda,2020-02-25,0,0
,Antigua and Barbuda,2020-02-26,0,0
,Antigua and Barbuda,2020-02-27,0,0
,Antigua and Barbuda,2020-02-28,0,0
,Antigua and Barbuda,2020-02-29,0,0
,Antigua and Barbuda,2020-03-01,0,0
,Antigua and Barbuda,2020-03-02,0,0
,Antigua and Barbuda,2020-03-03,0,0
,Antigua and Barbuda,2020-03-04,0,0
,Antigua and Barbuda,2020-03-05,0,0
,Antigua and Barbuda,2020-03-06,0,0
,Antigua and Barbuda,2020-03-07,0,0
,Antigua and Barbuda,2020-03-08,0,0
,Antigua and Barbuda,2020-03-09,0,0
,Antigua and Barbuda,2020-03-10,0,0
,Antigua and Barbuda,2020-03-11,0,0
,Antigua and Barbuda,2020-03-12,0,0
,Antigua and Barbuda,2020-03-13,1,0
,Antigua and Barbuda,2020-03-14,1,0
,Antigua and Barbuda,2020-03-15,1,0
,Antigua and Barbuda,2020-03-16,1,0
,Antigua and Barbuda,2020-03-17,1,0
,Antigua and Barbuda,2020-03-18,1,0
,Antigua and Barbuda,2020-03-19,1,0
,Antigua and Barbuda,2020-03-20,1,0
,Antigua and Barbuda,2020-03-21,1,0
,Antigua and Barbuda,2020-03-22,1,0
,Antigua and Barbuda,2020-03-23,3,0
,Antigua and Barbuda,2020-03-24,3,0
,Antigua and Barbuda,2020-03-25,3,0
,Antigua and Barbuda,2020-03-26,7,0
,Antigua and Barbuda,2020-03-27,7,0
,Antigua and Barbuda,2020-03-28,7,0
,Antigua and Barbuda,2020-03-29,7,0
,Antigua and Barbuda,2020-03-30,7,0
,Antigua and Barbuda,2020-03-31,7,0
,Antigua and Barbuda,2020-04-01,7,0
,Antigua and Barbuda,2020-04-02,9,0
,Antigua and Barbuda,2020-04-03,15,0
,Antigua and Barbuda,2020-04-04,15,0
,Argentina,2020-01-22,0,0
,Argentina,2020-01-23,0,0
,Argentina,2020-01-24,0,0
,Argentina,2020-01-25,0,0
,Argentina,2020-01-26,0,0
,Argentina,2020-01-27,0,0
,Argentina,2020-01-28,0,0
,Argentina,2020-01-29,0,0
,Argentina,2020-01-30,0,0
,Argentina,2020-01-31,0,0
,Argentina,2020-02-01,0,0
,Argentina,2020-02-02,0,0
,Argentina,2020-02-03,0,0
,Argentina,2020-02-04,0,0
,Argentina,2020-02-05,0,0
,Argentina,2020-02-06,0,0
,Argentina,2020-02-07,0,0
,Argentina,2020-02-08,0,0
,Argentina,2020-02-09,0,0
,Argentina,2020-02-10,0,0
,Argentina,2020-02-11,0,0
,Argentina,2020-02-12,0,0
,Argentina,2020-02-13,0,0
,Argentina,2020-02-14,0,0
,Argentina,2020-02-15,0,0
,Argentina,2020-02-16,0,0
,Argentina,2020-02-17,0,0
,Argentina,2020-02-18,0,0
,Argentina,2020-02-19,0,0
,Argentina,2020-02-20,0,0
,Argentina,2020-02-21,0,0
,Argentina,2020-02-22,0,0
,Argentina,2020-02-23,0,0
,Argentina,2020-02-24,0,0
,Argentina,2020-02-25,0,0
,Argentina,2020-02-26,0,0
,Argentina,2020-02-27,0,0
,Argentina,2020-02-28,0,0
,Argentina,2020-02-29,0,0
,Argentina,2020-03-01,0,0
,Argentina,2020-03-02,0,0
,Argentina,2020-03-03,1,0
,Argentina,2020-03-04,1,0
,Argentina,2020-03-05,1,0
,Argentina,2020-03-06,2,0
,Argentina,2020-03-07,8,0
,Argentina,2020-03-08,12,1
,Argentina,2020-03-09,12,1
,Argentina,2020-03-10,17,1
,Argentina,2020-03-11,19,1
,Argentina,2020-03-12,19,1
,Argentina,2020-03-13,31,2
,Argentina,2020-03-14,34,2
,Argentina,2020-03-15,45,2
,Argentina,2020-03-16,56,2
,Argentina,2020-03-17,68,2
,Argentina,2020-03-18,79,2
,Argentina,2020-03-19,97,3
,Argentina,2020-03-20,128,3
,Argentina,2020-03-21,158,4
,Argentina,2020-03-22,266,4
,Argentina,2020-03-23,301,4
,Argentina,2020-03-24,387,6
,Argentina,2020-03-25,387,8
,Argentina,2020-03-26,502,9
,Argentina,2020-03-27,589,13
,Argentina,2020-03-28,690,18
,Argentina,2020-03-29,745,19
,Argentina,2020-03-30,820,23
,Argentina,2020-03-31,1054,27
,Argentina,2020-04-01,1054,28
,Argentina,2020-04-02,1133,36
,Argentina,2020-04-03,1265,39
,Argentina,2020-04-04,1451,43
,Armenia,2020-01-22,0,0
,Armenia,2020-01-23,0,0
,Armenia,2020-01-24,0,0
,Armenia,2020-01-25,0,0
,Armenia,2020-01-26,0,0
,Armenia,2020-01-27,0,0
,Armenia,2020-01-28,0,0
,Armenia,2020-01-29,0,0
,Armenia,2020-01-30,0,0
,Armenia,2020-01-31,0,0
,Armenia,2020-02-01,0,0
,Armenia,2020-02-02,0,0
,Armenia,2020-02-03,0,0
,Armenia,2020-02-04,0,0
,Armenia,2020-02-05,0,0
,Armenia,2020-02-06,0,0
,Armenia,2020-02-07,0,0
,Armenia,2020-02-08,0,0
,Armenia,2020-02-09,0,0
,Armenia,2020-02-10,0,0
,Armenia,2020-02-11,0,0
,Armenia,2020-02-12,0,0
,Armenia,2020-02-13,0,0
,Armenia,2020-02-14,0,0
,Armenia,2020-02-15,0,0
,Armenia,2020-02-16,0,0
,Armenia,2020-02-17,0,0
,Armenia,2020-02-18,0,0
,Armenia,2020-02-19,0,0
,Armenia,2020-02-20,0,0
,Armenia,2020-02-21,0,0
,Armenia,2020-02-22,0,0
,Armenia,2020-02-23,0,0
,Armenia,2020-02-24,0,0
,Armenia,2020-02-25,0,0
,Armenia,2020-02-26,0,0
,Armenia,2020-02-27,0,0
,Armenia,2020-02-28,0,0
,Armenia,2020-02-29,0,0
,Armenia,2020-03-01,1,0
,Armenia,2020-03-02,1,0
,Armenia,2020-03-03,1,0
,Armenia,2020-03-04,1,0
,Armenia,2020-03-05,1,0
,Armenia,2020-03-06,1,0
,Armenia,2020-03-07,1,0
,Armenia,2020-03-08,1,0
,Armenia,2020-03-09,1,0
,Armenia,2020-03-10,1,0
,Armenia,2020-03-11,1,0
,Armenia,2020-03-12,4,0
,Armenia,2020-03-13,8,0
,Armenia,2020-03-14,18,0
,Armenia,2020-03-15,26,0
,Armenia,2020-03-16,52,0
,Armenia,2020-03-17,78,0
,Armenia,2020-03-18,84,0
,Armenia,2020-03-19,115,0
,Armenia,2020-03-20,136,0
,Armenia,2020-03-21,160,0
,Armenia,2020-03-22,194,0
,Armenia,2020-03-23,235,0
,Armenia,2020-03-24,249,0
,Armenia,2020-03-25,265,0
,Armenia,2020-03-26,290,1
,Armenia,2020-03-27,329,1
,Armenia,2020-03-28,407,1
,Armenia,2020-03-29,424,3
,Armenia,2020-03-30,482,3
,Armenia,2020-03-31,532,3
,Armenia,2020-04-01,571,4
,Armenia,2020-04-02,663,7
,Armenia,2020-04-03,736,7
,Armenia,2020-04-04,770,7
Australian Capital Territory,Australia,2020-01-22,0,0
Australian Capital Territory,Australia,2020-01-23,0,0
Australian Capital Territory,Australia,2020-01-24,0,0
Australian Capital Territory,Australia,2020-01-25,0,0
Australian Capital Territory,Australia,2020-01-26,0,0
Australian Capital Territory,Australia,2020-01-27,0,0
Australian Capital Territory,Australia,2020-01-28,0,0
Australian Capital Territory,Australia,2020-01-29,0,0
Australian Capital Territory,Australia,2020-01-30,0,0
Australian Capital Territory,Australia,2020-01-31,0,0
Australian Capital Territory,Australia,2020-02-01,0,0
Australian Capital Territory,Australia,2020-02-02,0,0
Australian Capital Territory,Australia,2020-02-03,0,0
Australian Capital Territory,Australia,2020-02-04,0,0
Australian Capital Territory,Australia,2020-02-05,0,0
Australian Capital Territory,Australia,2020-02-06,0,0
Australian Capital Territory,Australia,2020-02-07,0,0
Australian Capital Territory,Australia,2020-02-08,0,0
Australian Capital Territory,Australia,2020-02-09,0,0
Australian Capital Territory,Australia,2020-02-10,0,0
Australian Capital Territory,Australia,2020-02-11,0,0
Australian Capital Territory,Australia,2020-02-12,0,0
Australian Capital Territory,Australia,2020-02-13,0,0
Australian Capital Territory,Australia,2020-02-14,0,0
Australian Capital Territory,Australia,2020-02-15,0,0
Australian Capital Territory,Australia,2020-02-16,0,0
Australian Capital Territory,Australia,2020-02-17,0,0
Australian Capital Territory,Australia,2020-02-18,0,0
Australian Capital Territory,Australia,2020-02-19,0,0
Australian Capital Territory,Australia,2020-02-20,0,0
Australian Capital Territory,Australia,2020-02-21,0,0
Australian Capital Territory,Australia,2020-02-22,0,0
Australian Capital Territory,Australia,2020-02-23,0,0
Australian Capital Territory,Australia,2020-02-24,0,0
Australian Capital Territory,Australia,2020-02-25,0,0
Australian Capital Territory,Australia,2020-02-26,0,0
Australian Capital Territory,Australia,2020-02-27,0,0
Australian Capital Territory,Australia,2020-02-28,0,0
Australian Capital Territory,Australia,2020-02-29,0,0
Australian Capital Territory,Australia,2020-03-01,0,0
Australian Capital Territory,Australia,2020-03-02,0,0
Australian Capital Territory,Australia,2020-03-03,0,0
Australian Capital Territory,Australia,2020-03-04,0,0
Australian Capital Territory,Australia,2020-03-05,0,0
Australian Capital Territory,Australia,2020-03-06,0,0
Australian Capital Territory,Australia,2020-03-07,0,0
Australian Capital Territory,Australia,2020-03-08,0,0
Australian Capital Territory,Australia,2020-03-09,0,0
Australian Capital Territory,Australia,2020-03-10,0,0
Australian Capital Territory,Australia,2020-03-11,0,0
Australian Capital Territory,Australia,2020-03-12,0,0
Australian Capital Territory,Australia,2020-03-13,1,0
Australian Capital Territory,Australia,2020-03-14,1,0
Australian Capital Territory,Australia,2020-03-15,1,0
Australian Capital Territory,Australia,2020-03-16,2,0
Australian Capital Territory,Australia,2020-03-17,2,0
Australian Capital Territory,Australia,2020-03-18,3,0
Australian Capital Territory,Australia,2020-03-19,4,0
Australian Capital Territory,Australia,2020-03-20,6,0
Australian Capital Territory,Australia,2020-03-21,9,0
Australian Capital Territory,Australia,2020-03-22,19,0
Australian Capital Territory,Australia,2020-03-23,32,0
Australian Capital Territory,Australia,2020-03-24,39,0
Australian Capital Territory,Australia,2020-03-25,39,0
Australian Capital Territory,Australia,2020-03-26,53,0
Australian Capital Territory,Australia,2020-03-27,62,0
Australian Capital Territory,Australia,2020-03-28,71,0
Australian Capital Territory,Australia,2020-03-29,77,0
Australian Capital Territory,Australia,2020-03-30,78,1
Australian Capital Territory,Australia,2020-03-31,80,1
Australian Capital Territory,Australia,2020-04-01,84,1
Australian Capital Territory,Australia,2020-04-02,87,1
Australian Capital Territory,Australia,2020-04-03,91,1
Australian Capital Territory,Australia,2020-04-04,93,2
New South Wales,Australia,2020-01-22,0,0
New South Wales,Australia,2020-01-23,0,0
New South Wales,Australia,2020-01-24,0,0
New South Wales,Australia,2020-01-25,0,0
New South Wales,Australia,2020-01-26,3,0
New South Wales,Australia,2020-01-27,4,0
New South Wales,Australia,2020-01-28,4,0
New South Wales,Australia,2020-01-29,4,0
New South Wales,Australia,2020-01-30,4,0
New South Wales,Australia,2020-01-31,4,0
New South Wales,Australia,2020-02-01,4,0
New South Wales,Australia,2020-02-02,4,0
New South Wales,Australia,2020-02-03,4,0
New South Wales,Australia,2020-02-04,4,0
New South Wales,Australia,2020-02-05,4,0
New South Wales,Australia,2020-02-06,4,0
New South Wales,Australia,2020-02-07,4,0
New South Wales,Australia,2020-02-08,4,0
New South Wales,Australia,2020-02-09,4,0
New South Wales,Australia,2020-02-10,4,0
New South Wales,Australia,2020-02-11,4,0
New South Wales,Australia,2020-02-12,4,0
New South Wales,Australia,2020-02-13,4,0
New South Wales,Australia,2020-02-14,4,0
New South Wales,Australia,2020-02-15,4,0
New South Wales,Australia,2020-02-16,4,0
New South Wales,Australia,2020-02-17,4,0
New South Wales,Australia,2020-02-18,4,0
New South Wales,Australia,2020-02-19,4,0
New South Wales,Australia,2020-02-20,4,0
New South Wales,Australia,2020-02-21,4,0
New South Wales,Australia,2020-02-22,4,0
New South Wales,Australia,2020-02-23,4,0
New South Wales,Australia,2020-02-24,4,0
New South Wales,Australia,2020-02-25,4,0
New South Wales,Australia,2020-02-26,4,0
New South Wales,Australia,2020-02-27,4,0
New South Wales,Australia,2020-02-28,4,0
New South Wales,Australia,2020-02-29,4,0
New South Wales,Australia,2020-03-01,6,0
New South Wales,Australia,2020-03-02,6,0
New South Wales,Australia,2020-03-03,13,0
New South Wales,Australia,2020-03-04,22,1
New South Wales,Australia,2020-03-05,22,1
New South Wales,Australia,2020-03-06,26,1
New South Wales,Australia,2020-03-07,28,1
New South Wales,Australia,2020-03-08,38,2
New South Wales,Australia,2020-03-09,48,2
New South Wales,Australia,2020-03-10,55,2
New South Wales,Australia,2020-03-11,65,2
New South Wales,Australia,2020-03-12,65,2
New South Wales,Australia,2020-03-13,92,2
New South Wales,Australia,2020-03-14,112,2
New South Wales,Australia,2020-03-15,134,2
New South Wales,Australia,2020-03-16,171,2
New South Wales,Australia,2020-03-17,210,4
New South Wales,Australia,2020-03-18,267,5
New South Wales,Australia,2020-03-19,307,5
New South Wales,Australia,2020-03-20,353,6
New South Wales,Australia,2020-03-21,436,6
New South Wales,Australia,2020-03-22,669,6
New South Wales,Australia,2020-03-23,669,6
New South Wales,Australia,2020-03-24,818,7
New South Wales,Australia,2020-03-25,1029,7
New South Wales,Australia,2020-03-26,1219,7
New South Wales,Australia,2020-03-27,1405,7
New South Wales,Australia,2020-03-28,1617,8
New South Wales,Australia,2020-03-29,1791,8
New South Wales,Australia,2020-03-30,2032,8
New South Wales,Australia,2020-03-31,2032,8
New South Wales,Australia,2020-04-01,2182,9
New South Wales,Australia,2020-04-02,2298,10
New South Wales,Australia,2020-04-03,2389,12
New South Wales,Australia,2020-04-04,2493,12
